measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Devon & Cornwall,Police Force Area,5540,3894,1788012,3.098413,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Devon & Cornwall,Police Force Area,6122,4741,1788012,3.423914,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Devon & Cornwall,Police Force Area,26176,24411,1668218,15.69,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Devon & Cornwall,Police Force Area,22032,20731,1668218,13.21,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Devon & Cornwall,Police Force Area,22963,21875,1668218,13.76,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Devon & Cornwall,Police Force Area,24042,22967,1668218,14.41,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Devon & Cornwall,Police Force Area,20360,19460,1668218,12.2,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Devon & Cornwall,Police Force Area,17797,16876,1668218,10.67,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Devon & Cornwall,Police Force Area,13883,13107,1668218,8.32,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Devon & Cornwall,Police Force Area,13737,13125,1668218,8.23,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Devon & Cornwall,Police Force Area,8506,8010,1668218,5.1,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Devon & Cornwall,Police Force Area,6153,5802,1668218,3.69,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Devon & Cornwall,Police Force Area,5092,4744,1668218,3.05,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Devon & Cornwall,Police Force Area,4906,4445,1668218,2.94,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Devon & Cornwall,Police Force Area,4660,4088,1668218,2.79,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Dorset,Police Force Area,2116,1770,744041,2.8439293,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Dorset,Police Force Area,2678,2398,779775,3.434324,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Dorset,Police Force Area,2115,1865,779775,2.712321,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Dorset,Police Force Area,1892,1645,779775,2.426341,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Dorset,Police Force Area,6653,6543,744041,8.94,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Dorset,Police Force Area,7910,7786,744041,10.63,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Dorset,Police Force Area,6489,6426,744041,8.72,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Dorset,Police Force Area,6571,6561,744041,8.83,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Dorset,Police Force Area,6800,6728,744041,9.14,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Dorset,Police Force Area,6985,6924,744041,9.39,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Dorset,Police Force Area,7582,7549,744041,10.19,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Dorset,Police Force Area,8503,8329,744041,11.43,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Dorset,Police Force Area,7186,6985,744041,9.66,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Dorset,Police Force Area,4979,4278,744041,6.69,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Dorset,Police Force Area,3271,2895,744041,4.4,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Dorset,Police Force Area,2411,2117,744041,3.24,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Dorset,Police Force Area,2368,2071,744041,3.18,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Durham,Police Force Area,2000,1955,618806,3.232030717,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Durham,Police Force Area,2319,2260,629863,3.681753,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Durham,Police Force Area,2132,2060,629863,3.384863,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Durham,Police Force Area,3276,3190,629863,5.201131,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Durham,Police Force Area,8320,8302,618806,13.45,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Durham,Police Force Area,7957,7950,618806,12.86,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Durham,Police Force Area,5294,5249,618806,8.56,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Durham,Police Force Area,5911,5835,618806,9.55,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Durham,Police Force Area,4957,4902,618806,8.01,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Durham,Police Force Area,5304,5272,618806,8.57,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Durham,Police Force Area,8560,8528,618806,13.83,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Durham,Police Force Area,12084,12058,618806,19.53,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Durham,Police Force Area,8206,8189,618806,13.26,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Durham,Police Force Area,4449,4433,618806,7.19,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Durham,Police Force Area,1732,1705,618806,2.8,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Durham,Police Force Area,1467,1455,618806,2.37,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Durham,Police Force Area,1745,1711,618806,2.82,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Dyfed-Powys,Police Force Area,3119,2929,515114,6.054970356,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Dyfed-Powys,Police Force Area,3296,3049,515899,6.388847,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Dyfed-Powys,Police Force Area,2478,2267,515899,4.803266,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Dyfed-Powys,Police Force Area,8173,7542,515899,15.84225,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Dyfed-Powys,Police Force Area,8430,8384,515114,16.37,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Dyfed-Powys,Police Force Area,7106,7049,515114,13.8,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Dyfed-Powys,Police Force Area,10403,10141,515114,20.2,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Dyfed-Powys,Police Force Area,12298,12048,515114,23.87,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Dyfed-Powys,Police Force Area,14574,14203,515114,28.29,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Dyfed-Powys,Police Force Area,13306,12957,515114,25.83,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Dyfed-Powys,Police Force Area,13580,13125,515114,26.36,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Dyfed-Powys,Police Force Area,9260,8988,515114,17.98,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Dyfed-Powys,Police Force Area,5201,5156,515114,10.1,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Dyfed-Powys,Police Force Area,3810,3632,515114,7.4,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Dyfed-Powys,Police Force Area,2426,2292,515114,4.71,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Dyfed-Powys,Police Force Area,2149,2007,515114,4.17,NA
